replication,method,asep,aaep
170,ar1,53.742588638209,3.5789325197787316
171,mean,37.71965642686894,3.516975902899317
171,median,38.170645845978285,3.491213557129783
171,ar1,38.12786667157662,3.3919097369378193
172,mean,36.13282563427532,3.4893224127952127
172,median,35.52500663706154,3.4153599169635602
172,ar1,36.55817778182768,3.324653313173958
173,mean,44.985728122910785,3.6344349133461926
173,median,45.882492727974466,3.5714247270447053
173,ar1,40.70700028749032,3.4622273912307984
174,mean,31.676241796469615,3.5514097267022975
174,median,31.194522016575483,3.446901181950075
174,ar1,28.496444226644318,3.267635303571295
175,mean,34.84415420058018,3.5345731571733996
175,median,35.267347488701304,3.4712803982859732
175,ar1,31.045490550426766,3.2751187415095804
176,mean,57.19621237905665,3.857582403877247
176,median,58.58547855946712,3.840630491407568
176,ar1,55.968260824585954,3.727124950006786
177,mean,29.779379328851963,3.4504812710518613
177,median,29.624976976417145,3.370534176807076
177,ar1,27.768331106282808,3.2733271688367775
178,mean,53.16923283261019,3.596499757374103
178,median,54.08050727126757,3.5526916801387145
178,ar1,51.302194210194386,3.492746628550402
179,mean,34.701031198843346,3.4905889998649715
179,median,34.28966921882592,3.4194578876684987
179,ar1,34.61722816801976,3.3657679270414786
180,mean,37.74083852941445,3.501524125761374
180,median,37.503743874655235,3.437355805332352
180,ar1,36.386187922753166,3.3754476968425164
181,mean,45.780084450016716,3.607919119148809
181,median,46.99506714056098,3.5482318926111454
181,ar1,41.663464480951184,3.4313066690758665
182,mean,40.40670515098712,3.681727440067441
182,median,39.7527329685316,3.6396372204955028
182,ar1,40.68044447570902,3.498208589027912
183,mean,36.95252861685417,3.6186992453336457
183,median,37.358083831691076,3.5769990307269977
183,ar1,39.1379755491785,3.5280189792240266
184,mean,39.44072995199357,3.6381473412309977
184,median,39.68501081941494,3.5699765729122976
184,ar1,41.11309483870006,3.4824214383052614
185,mean,44.635363551092944,3.615995374403125
185,median,45.09423864666854,3.5850587781452683
185,ar1,42.20670098053178,3.4360504249976307
186,mean,33.89392470184146,3.5677902262386243
186,median,33.924096463426395,3.5290223024153566
186,ar1,29.28870898971543,3.2728645070700284
187,mean,36.821940021084394,3.518319281232773
187,median,36.30121956614643,3.44432600968069
187,ar1,34.190931001308805,3.310807387659921
188,mean,36.497446884617034,3.503795569488006
188,median,35.97220157685342,3.44625172179948
188,ar1,35.36809651011329,3.3115613012830525
189,mean,39.860159035651854,3.5544806313177033
189,median,38.116931294605436,3.4519192323824806
189,ar1,37.387485555300216,3.3671442947876864
190,mean,38.7086242664978,3.5960779460474086
190,median,39.13516918053945,3.5442291432831965
190,ar1,41.35196520560815,3.4951198763019637
191,mean,33.285223479013865,3.6236347364313324
191,median,33.16284556457982,3.5502287789180484
191,ar1,49.82280718360054,3.5502892697575135
192,mean,30.8008730125849,3.337626823537964
192,median,31.09572435341308,3.3121957681433227
192,ar1,29.716581518937975,3.2226575110318607
193,mean,52.72638143320174,3.8103149950262507
193,median,51.68258266736585,3.722712849573465
193,ar1,63.76025525357136,3.731302369915926
194,mean,48.64630218132327,3.876459625252265
194,median,47.5157402317595,3.7787830069650856
