replication,method,asep
191,naive,11.140135816906117
191,ar1,8.704649715059217
191,random_forest,10.069446610312303
192,naive,10.563088928577884
192,ar1,9.656324343847796
192,random_forest,10.439284220914102
193,naive,11.040671923045883
193,ar1,9.196840359803243
193,random_forest,10.00222922107286
194,naive,11.402183273263494
194,ar1,9.407235962341066
194,random_forest,10.287982955394558
195,naive,10.820314916087048
195,ar1,9.778185476958912
195,random_forest,10.992965982392697
196,naive,10.893872794566454
196,ar1,9.126503977897608
196,random_forest,10.180407102498608
197,naive,10.959875418896928
197,ar1,8.94935661086789
197,random_forest,10.233320599173572
198,naive,11.561068496087719
198,ar1,9.534276103210425
198,random_forest,9.941855459138825
199,naive,11.985750488429533
199,ar1,9.667905125062779
199,random_forest,10.479179560834519
