design,replication,method,asep
random_rows,109,ar1,35.74894832821546
random_rows,109,random_forest,28.066462548057984
random_rows,110,naive,77.3334530167169
random_rows,110,ar1,44.093432259454076
random_rows,110,random_forest,43.90706965514757
random_rows,111,naive,58.5995536699527
random_rows,111,ar1,58.74026822210022
random_rows,111,random_forest,30.242886010054903
random_rows,112,naive,49.16098063842482
random_rows,112,ar1,35.042641516688114
random_rows,112,random_forest,32.36299280773739
random_rows,113,naive,40.16549987811011
random_rows,113,ar1,35.74371597757736
random_rows,113,random_forest,31.1267276930016
random_rows,114,naive,62.64123103778026
random_rows,114,ar1,47.88313047937046
random_rows,114,random_forest,40.308744598152764
random_rows,115,naive,58.46301395518526
random_rows,115,ar1,53.13589607452946
random_rows,115,random_forest,32.27224104052676
random_rows,116,naive,41.49648234060244
random_rows,116,ar1,28.110314643428055
random_rows,116,random_forest,29.919916294927372
random_rows,117,naive,51.685954283391496
random_rows,117,ar1,32.51174894346198
random_rows,117,random_forest,31.416112683512942
random_rows,118,naive,62.201734782802625
random_rows,118,ar1,34.880157645171636
random_rows,118,random_forest,27.53209543725232
random_rows,119,naive,64.94450183002367
random_rows,119,ar1,50.693532936143924
random_rows,119,random_forest,48.400292290325815
random_rows,120,naive,42.040496131956864
random_rows,120,ar1,33.10328194998837
random_rows,120,random_forest,27.525490810890105
random_rows,121,naive,46.73371285436082
random_rows,121,ar1,35.62718077047684
random_rows,121,random_forest,32.69318507969775
random_rows,122,naive,42.07663816609203
random_rows,122,ar1,31.599998550258338
random_rows,122,random_forest,32.46033148202561
random_rows,123,naive,48.98719911428317
random_rows,123,ar1,32.33702263682455
random_rows,123,random_forest,28.69172969403714
random_rows,124,naive,64.14276046664769
random_rows,124,ar1,45.63260026174359
random_rows,124,random_forest,36.63697974287149
random_rows,125,naive,40.27613625583711
random_rows,125,ar1,31.6702510125748
random_rows,125,random_forest,30.34294930648353
random_rows,126,naive,46.661337158104004
random_rows,126,ar1,32.23012793610753
random_rows,126,random_forest,29.17696782219517
random_rows,127,naive,46.98037649779314
random_rows,127,ar1,33.5414880526261
random_rows,127,random_forest,30.072180038804277
random_rows,128,naive,79.64736441030855
random_rows,128,ar1,58.427379966441116
random_rows,128,random_forest,35.29798462156429
random_rows,129,naive,54.30930515398213
random_rows,129,ar1,49.00249210086037
random_rows,129,random_forest,45.6496965499415
random_rows,130,naive,55.56634227248809
random_rows,130,ar1,38.942760348450555
random_rows,130,random_forest,34.212767982301024
random_rows,131,naive,47.74559597685655
random_rows,131,ar1,30.82475782550999
random_rows,131,random_forest,30.54972018570265
random_rows,132,naive,65.5086994376446
random_rows,132,ar1,42.744239840923356
random_rows,132,random_forest,37.70521523515626
random_rows,133,naive,49.852404523988454
random_rows,133,ar1,29.756938459555638
random_rows,133,random_forest,32.22002060800983
random_rows,134,naive,78.28228000027366
random_rows,134,ar1,47.13783792772701
random_rows,134,random_forest,42.696333530504795
random_rows,135,naive,56.75874933318533
random_rows,135,ar1,36.44716079229849
random_rows,135,random_forest,33.90982051544736
random_rows,136,naive,64.29858308796395
random_rows,136,ar1,36.6852838018043
random_rows,136,random_forest,31.26453501181119
random_rows,137,naive,58.45016135239975
random_rows,137,ar1,39.01292656504739
random_rows,137,random_forest,36.99363786883294
random_rows,138,naive,49.506212435995884
random_rows,138,ar1,36.64148686055023
random_rows,138,random_forest,30.401682264764492
random_rows,139,naive,60.57190721612157
random_rows,139,ar1,38.09781641470184
random_rows,139,random_forest,34.42909609510085
random_rows,140,naive,43.66798262039577
random_rows,140,ar1,28.779798859025288
random_rows,140,random_forest,27.61197334809398
random_rows,141,naive,34.81083939156465
random_rows,141,ar1,23.62514188928076
random_rows,141,random_forest,24.15288253102126
random_rows,142,naive,39.044056299611384
random_rows,142,ar1,30.987666278567247
random_rows,142,random_forest,27.957412854497978
random_rows,143,naive,55.375854262135256
random_rows,143,ar1,39.49687268094511
random_rows,143,random_forest,40.244019634001845
random_rows,144,naive,57.984535070495156
random_rows,144,ar1,39.46655021015585
random_rows,144,random_forest,39.25916719535197
random_rows,145,naive,80.44033700542917
random_rows,145,ar1,57.208950200546035
random_rows,145,random_forest,37.45739618687777
random_rows,146,naive,54.44183749987032
random_rows,146,ar1,49.924186015163
random_rows,146,random_forest,44.24289143981077
random_rows,147,naive,57.41621540793522
random_rows,147,ar1,35.19139128914464
random_rows,147,random_forest,31.622966938278186
random_rows,148,naive,55.832301999975215
random_rows,148,ar1,47.35328776189385
random_rows,148,random_forest,34.24240794506173
random_rows,149,naive,71.12831143623906
random_rows,149,ar1,46.757718096777346
random_rows,149,random_forest,33.458110421214585
random_rows,150,naive,46.47402424221552
random_rows,150,ar1,32.51177357576624
random_rows,150,random_forest,30.439728054892477
random_rows,151,naive,47.566862633493194
random_rows,151,ar1,35.87887438838442
random_rows,151,random_forest,30.46050837661865
random_rows,152,naive,52.77294663279145
random_rows,152,ar1,34.71246251684567
random_rows,152,random_forest,29.747350297714025
random_rows,153,naive,74.3993112516268
random_rows,153,ar1,41.66918252125011
random_rows,153,random_forest,41.14204028731847
random_rows,154,naive,50.69220673679709
random_rows,154,ar1,40.406441007741094
random_rows,154,random_forest,33.98653874886097
random_rows,155,naive,37.91887271114325
random_rows,155,ar1,24.699917953299995
